" ","Course Name","University","Difficulty Level","Course Rating","Course URL","Course Description","Skills","Platform",""
"","Machine Learning A-Z™: Hands-On Python & R In Data Science","Kirill Eremenko","Easy","4.5","https://www.udemy.com/course/machinelearning/","Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.","Reinforcement Learning, NLP and Deep Learning","UDEMY",""
"","Python for Data Science and Machine Learning Bootcamp","Jose Portilla","Intermediate","4.6","https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/","Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!","Use Python for Data Science and Machine Learning","UDEMY",""
"","Deep Learning A-Z™: Hands-On Artificial Neural Networks","Kirill Eremenko","Easy","4.5","https://www.udemy.com/course/deeplearning/","Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.","Understand the intuition behind Artificial Neural Networks","UDEMY",""
"","SPSS Masterclass: Learn SPSS From Scratch to Advanced","Scholarsight Learning","Advanced","4.5","https://www.udemy.com/course/spss-statistics-foundation-course-from-scratch-to-advanced/","A complete step by step course to master IBM SPSS Statistics for doing advanced Research, Statistics & Data Analysis","Analyse any type of numerical data using SPSS with confidence","UDEMY",""
"","Apache Spark with Scala - Hands On with Big Data!","Frank Kane","Intermediate","4.6","https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/","Apache Spark tutorial with 20+ hands-on examples of analyzing large data sets, on your desktop or on Hadoop with Scala!","Develop distributed code using the Scala programming language","UDEMY",""
"","Artificial Intelligence Masterclass","Hadelin de Ponteves","Intermediate","4.5","https://www.udemy.com/course/artificial-intelligence-masterclass/","Enter the new era of Hybrid AI Models optimized by Deep NeuroEvolution, with a complete toolkit of ML, DL & AI models","How to Build a Hybrid Intelligent System","UDEMY",""
"","[2022] Machine Learning and Deep Learning Bootcamp in Python","Holczer Balazs","Advanced","4.3","https://www.udemy.com/course/introduction-to-machine-learning-in-python/","Machine Learning, Neural Networks, Computer Vision, Deep Learning and Reinforcement Learning in Keras and TensorFlow","Solving classification problems (naive Bayes classifier, Support Vector Machines - SVMs)","UDEMY",""
"","100 Days of Code: The Complete Python Pro Bootcamp for 2022","Dr. Angela Yu","Beginner","4.7","https://www.udemy.com/course/100-days-of-code/","Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!","You will master the Python programming language by building 100 unique projects over 100 days.","UDEMY",""
"","2022 Complete Python Bootcamp From Zero to Hero in Python","Jose Portilla","Beginner","4.6","https://www.udemy.com/course/complete-python-bootcamp/","Learn Python like a Professional Start from the basics and go all the way to creating your own applications and games","Learn to use Python professionally, learning both Python 2 and Python 3!","UDEMY",""
"","The Data Science Course 2022: Complete Data Science Bootcamp","365 Careers","Beginner","4.6","https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/","Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning","Fill up your resume with in demand data science skills: Statistical analysis, Python programming with NumPy, pandas, matplotlib, and Seaborn, Advanced statistical analysis, Tableau, Machine Learning with stats models and scikit-learn, Deep learning with TensorFlow","UDEMY",""
"","Java Programming Masterclass covering Java 11 & Java 17","Tim Buchalka","Beginner","4.5","https://www.udemy.com/course/java-the-complete-java-developer-course/","Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification","Obtain proficiency in Java 8 and Java 11.","UDEMY",""
"","Java Programming for Complete Beginners","in28Minutes Official","Beginner","4.54","https://www.udemy.com/course/java-programming-tutorial-for-beginners/","Java Programming for Beginners to Java Object Oriented Programming. Core Java + REST API with Spring Boot. Java 8 to 16.","CLEAR YOUR JAVA INTERVIEWS: GET ALL the SKILLS to demonstrate an EXPERTISE with Java Programming","UDEMY",""
"","The Complete Java Development Bootcamp","Rayan Slim","Beginner","4.7","https://www.udemy.com/course/the-complete-java-development-bootcamp/","Become an Experienced Java Developer with Just One Course. Fully Updated with 100+ Coding Challenges!","Acquire the Java skills needed to pursue Web Development (Spring Boot), Android Development, Automation, and more!","UDEMY",""
"","The Complete Java Certification Course","Imtiaz Ahmad","Beginner","4.5","https://www.udemy.com/course/master-practical-java-development/","Become a confident industry ready core Java developer and get certified as a Java professional!","Gain enough experience to pass a core Java Programming interview and perform well on the job","UDEMY",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
